tip_name	collection_date
hCoV-19_USA_CT-JAX-JAX000532_2021	2021-03-28
hCoV-19_USA_NY-PRL-2021_02_19_01C08_2021	2021-02-17
hCoV-19_USA_CT-JAX-JAX000334_2021	2021-03-16
hCoV-19_USA_NY-PRL-2021_0412_01K20_2021	2021-04-11
hCoV-19_USA_NY-PRL-2021_03_29_04B19_2021	2021-03-26
hCoV-19_USA_NY-PRL-2021_0413_00J19_2021	2021-04-12
hCoV-19_USA_NY-NYULH994_2021	2021-03-18
hCoV-19_USA_CT-CDC-ASC210013763_2021	2021-03-20
hCoV-19_USA_NJ-CDC-LC0038277_2021	2021-03-31
hCoV-19_USA_NY-NYULH810_2021	2021-03-10
hCoV-19_USA_NY-NYCPHL-003430_2021	2021-02-18
hCoV-19_Japan_IC-0790_2021	2021-02-08
hCoV-19_USA_CT-CDC-STM-000042782_2021	2021-03-20
hCoV-19_USA_CT-CDC-STM-000045538_2021	2021-03-27
hCoV-19_USA_CT-CDC-STM-000046273_2021	2021-03-30
hCoV-19_USA_CT-JAX-JAX000401_2021	2021-03-18
hCoV-19_USA_CT-CDC-STM-000042793_2021	2021-03-20
hCoV-19_USA_CT-Yale-3222_2021	2021-03-27
hCoV-19_USA_CT-Yale-2719_2021	2021-03-20
hCoV-19_USA_NY-NYULH873_2021	2021-03-13
hCoV-19_USA_CT-CDC-STM-000045015_2021	2021-03-28
hCoV-19_USA_CT-CDC-LC0040877_2021	2021-04-08
hCoV-19_USA_CT-CDC-STM-000038695_2021	2021-03-16
hCoV-19_USA_CT-Yale-2698_2021	2021-03-18
hCoV-19_USA_NY-Wadsworth-21032689-01_2021	2021-02-27
hCoV-19_USA_NY-PRL-03_10_00K03_2021	2021-03-08
hCoV-19_USA_NY-PRL-2021_03_01_00J24_2021	2021-02-27
hCoV-19_USA_NY-PRL-2021_0407_00P06_2021	2021-04-05
hCoV-19_USA_NY-PRL-2021_0405_01E13_2021	2021-04-03
hCoV-19_USA_NY-PRL-2021_0406_00G07_2021	2021-04-04
hCoV-19_USA_NY-Wadsworth-21035215-01_2021	2021-03-21
hCoV-19_USA_CT-CDC-STM-000043665_2021	2021-03-22
hCoV-19_USA_CT-CDCBI-CRSP_01758_2021	2021-03-17
hCoV-19_USA_CT-CDCBI-CRSP_01813_2021	2021-03-18
hCoV-19_USA_CT-JAX-JAX000915_2021	2021-04-09
hCoV-19_USA_CT-CDC-QDX23678235_2021	2021-04-05
hCoV-19_USA_CT-CDCBI-CRSP_01369_2021	2021-03-08
hCoV-19_USA_CT-JAX-JAX000136_2021	2021-03-03
hCoV-19_USA_CT-JAX-JAX000351_2021	2021-03-16
hCoV-19_USA_CT-JAX-JAX000258_2021	2021-03-08
hCoV-19_USA_CT-JAX-JAX000170_2021	2021-03-03
hCoV-19_USA_NY-CDC-LC0036008_2021	2021-03-25
hCoV-19_USA_NY-Wadsworth-21039666-01_2021	2021-03-29
hCoV-19_USA_NY-PRL-2021_03_11_00L06_2021	2021-03-09
hCoV-19_USA_NY-PRL-2021_02_15_02F09_2021	2021-02-13
hCoV-19_USA_NY-Wadsworth-21020500-01_2021	2021-02-05
hCoV-19_USA_NY-Wadsworth-21031486-01_2021	2021-03-04
hCoV-19_USA_NJ-CDC-ASC210013444_2021	2021-03-20
hCoV-19_USA_NY-PRL-2021_03_03_00K06_2021	2021-03-01
hCoV-19_USA_NY-PRL-2021_0405_02L23_2021	2021-04-01
hCoV-19_USA_NY-CDC-QDX23235867_2021	2021-03-21
hCoV-19_USA_NY-Wadsworth-21018798-01_2021	2021-02-03
hCoV-19_USA_CT-JAX-JAX000708_2021	2021-03-30
hCoV-19_USA_CT-JAX-JAX000456_2021	2021-03-26
hCoV-19_USA_CT-JAX-JAX000492_2021	2021-03-27
hCoV-19_USA_NY-PRL-2021_02_22_00F19_2021	2021-02-17
hCoV-19_USA_CT-Yale-2786_2021	2021-03-21
hCoV-19_USA_CT-Yale-3070_2021	2021-03-24
hCoV-19_USA_CT-Yale-3065_2021	2021-03-24
hCoV-19_USA_CT-Yale-2736_2021	2021-03-19
hCoV-19_USA_NY-PRL-2021_03_15_01M10_2021	2021-03-13
hCoV-19_USA_NY-Wadsworth-21031309-01_2021	2021-03-08
hCoV-19_USA_CT-Yale-3512_2021	2021-04-06
hCoV-19_USA_NY-PRL-2021_03_22_01H01_2021	2021-03-20
hCoV-19_USA_NY-NYCPHL-003492_2021	2021-02-22
hCoV-19_USA_NY-Wadsworth-21012154-01_2021	2021-01-19
hCoV-19_USA_CT-Yale-1456_2021	2021-02-10
hCoV-19_USA_NY-PRL-2021_0405_00A19_2021	2021-03-30
hCoV-19_USA_NY-NYCPHL-004225_2021	2021-04-02
hCoV-19_USA_NY-CDC-IBX302222926766_2021	2021-03-24
hCoV-19_USA_CT-Yale-3496_2021	2021-04-05
hCoV-19_USA_CT-Yale-3059_2021	2021-03-24
hCoV-19_USA_CT-Yale-3074_2021	2021-03-24
hCoV-19_USA_CT-Yale-3208_2021	2021-03-26
hCoV-19_USA_CT-Yale-3226_2021	2021-03-28
hCoV-19_USA_NY-PRL-2021_03_02_00B15_2021	2021-02-28
hCoV-19_USA_NY-PRL-2021_03_01_01E13_2021	2021-02-26
hCoV-19_USA_NY-PRL-2021_0405_00E11_2021	2021-03-31
hCoV-19_USA_NY-Wadsworth-21032658-01_2021	2021-02-26
hCoV-19_USA_NY-NYULH681_2021	2021-03-01
hCoV-19_USA_NY-PRL-2021_0409_00N14_2021	2021-04-07
hCoV-19_USA_NY-PRL-2021_0414_00M20_2021	2021-04-13
hCoV-19_USA_NY-PRL-2021_0405_00L22_2021	2021-03-31
hCoV-19_USA_NY-NYCPHL-003733_2021	2021-03-05
hCoV-19_USA_NY-Wadsworth-21012153-01_2021	2021-01-17
hCoV-19_USA_GA-CDC-STM-000046907_2021	2021-03-29
hCoV-19_USA_CT-JAX-JAX000906_2021	2021-04-08
hCoV-19_USA_CT-Yale-2790_2021	2021-03-20
hCoV-19_USA_CT-JAX-JAX000306_2021	2021-03-15
hCoV-19_USA_CT-JAX-JAX000323_2021	2021-03-16
hCoV-19_USA_CT-JAX-JAX000176_2021	2021-03-02
hCoV-19_USA_CT-JAX-JAX000327_2021	2021-03-16
hCoV-19_USA_CT-JAX-JAX000276_2021	2021-03-09
hCoV-19_USA_CT-Yale-2518_2021	2021-03-12
hCoV-19_USA_CT-Yale-2682_2021	2021-03-18
hCoV-19_USA_CT-Yale-3290_2021	2021-03-28
hCoV-19_USA_CT-Yale-2729_2021	2021-03-21
hCoV-19_USA_CT-Yale-2774_2021	2021-03-19
hCoV-19_USA_CT-JAX-JAX000581_2021	2021-03-25
hCoV-19_USA_CT-JAX-JAX000331_2021	2021-03-16
hCoV-19_USA_NY-Wadsworth-21032728-01_2021	2021-03-15
hCoV-19_USA_NY-CDC-2-4084413_2021	2021-03-16
hCoV-19_USA_NY-Wadsworth-21018154-01_2021	2021-01-31
hCoV-19_USA_NJ-CDC-LC0038993_2021	2021-03-31
hCoV-19_USA_NY-Wadsworth-21035494-01_2021	2021-03-13
hCoV-19_USA_NY-PRL-2021_03_16_00A06_2021	2021-03-13
hCoV-19_USA_NY-NYCPHL-002190_2021	2021-01-03
hCoV-19_USA_CT-JAX-JAX000605_2021	2021-03-25
hCoV-19_USA_NY-PRL-2021_02_19_01L20_2021	2021-02-17
hCoV-19_USA_NY-Wadsworth-21002954-01_2021	2021-01-01
hCoV-19_USA_CT-CDCBI-CRSP_01676_2021	2021-03-21
hCoV-19_USA_NC-CDC-ASC210018723_2021	2021-03-24
hCoV-19_USA_NY-PRL-2021_0416_00B13_2021	2021-04-15
hCoV-19_USA_NY-PRL-2021_0414_00M05_2021	2021-04-13
hCoV-19_USA_NY-PRL-2021_03_29_03K23_2021	2021-03-26
hCoV-19_USA_NY-Wadsworth-21036702-01_2021	2021-03-23
hCoV-19_USA_NY-PRL-2021_03_29_00L14_2021	2021-03-25
hCoV-19_USA_NY-PRL-2021_03_29_01O12_2021	2021-03-27
hCoV-19_USA_CT-JAX-JAX000856_2021	2021-04-08
hCoV-19_USA_NY-PRL-2021_02_12_04F10_2021	2021-02-10
hCoV-19_USA_NY-Wadsworth-21015463-01_2021	2021-01-19
hCoV-19_USA_NY-NYCPHL-003453_2021	2021-02-19
hCoV-19_USA_CT-JAX-JAX000791_2021	2021-04-02
hCoV-19_USA_CT-JAX-JAX000391_2021	2021-03-17
hCoV-19_USA_CT-Yale-3134_2021	2021-03-25
hCoV-19_USA_CT-CDC-LC0041402_2021	2021-04-09
hCoV-19_USA_CT-Yale-2727_2021	2021-03-20
hCoV-19_USA_CT-Yale-2557_2021	2021-03-13
hCoV-19_USA_CT-CDC-LC0040130_2021	2021-04-05
hCoV-19_USA_NY-PRL-2021_0414_00O13_2021	2021-04-12
hCoV-19_USA_NY-PRL-03_09_00B21_2021	2021-03-04
hCoV-19_USA_NY-PRL-2021_0412_00A14_2021	2021-04-08
hCoV-19_USA_NY-PRL-2021_02_19_00C04_2021	2021-02-16
hCoV-19_USA_NJ-CDC-IBX957639691778_2021	2021-03-18
hCoV-19_USA_NJ-CDC-ASC210040236_2021	2021-03-31
hCoV-19_USA_NY-NYCPHL-004026_2021	2021-03-22
hCoV-19_USA_NY-PRL-2021_03_29_02K04_2021	2021-03-26
hCoV-19_USA_NY-PRL-03_10_00O14_2021	2021-03-09
hCoV-19_USA_NY-PRL-2021_03_12_00N21_2021	2021-03-11
hCoV-19_USA_NY-PRL-2021_02_12_02B03_2021	2021-02-10
hCoV-19_USA_NY-Wadsworth-21026044-01_2021	2021-02-22
hCoV-19_USA_NY-NYULH881_2021	2021-03-15
hCoV-19_USA_NY-Wadsworth-21032607-01_2021	2021-02-26
hCoV-19_USA_NY-PRL-2021_03_31_00F01_2021	2021-03-28
hCoV-19_USA_NY-Wadsworth-21024776-01_2021	2021-02-20
hCoV-19_USA_CT-JAX-JAX000480_2021	2021-03-23
hCoV-19_USA_NY-PRL-2021_0406_00E19_2021	2021-04-04
hCoV-19_USA_CT-CDC-FG-017059_2021	2021-03-24
hCoV-19_Switzerland_GR-ETHZ-540135_2021	2021-03-15
hCoV-19_USA_NJ-CDC-LC0042669_2021	2021-04-05
hCoV-19_USA_NY-Wadsworth-21007336-01_2021	2021-01-07
hCoV-19_Spain_CM-ISCIII-212465_2021	2021-03-09
hCoV-19_USA_MA-CDCBI-CRSP_01674_2021	2021-03-20
hCoV-19_USA_CT-CDC-LC0040297_2021	2021-04-04
hCoV-19_USA_CT-CDC-QDX23205072_2021	2021-03-21
hCoV-19_USA_CT-CDC-QDX23314121_2021	2021-03-26
hCoV-19_USA_NY-NYULH1074_2021	2021-03-28
hCoV-19_USA_NY-NYCPHL-003232_2021	2021-02-10
hCoV-19_USA_NY-PRL-03_05_02I19_2021	2021-03-03
hCoV-19_USA_NY-PRL-03_05_02H17_2021	2021-03-03
hCoV-19_USA_NY-PRL-2021_03_15_00C06_2021	2021-03-12
hCoV-19_USA_NJ-CDC-ASC210017112_2021	2021-03-23
hCoV-19_USA_NY-Wadsworth-21036009-01_2021	2021-03-22
hCoV-19_USA_NY-CDC-LC0036719_2021	2021-03-23
hCoV-19_USA_CT-Yale-2491_2021	2021-03-12
hCoV-19_USA_CT-Yale-2492_2021	2021-03-12
hCoV-19_USA_CT-Yale-2548_2021	2021-03-12
hCoV-19_USA_MT-MTPHL-21310132_2021	2021-03-30
hCoV-19_USA_NY-Wadsworth-21029519-01_2021	2021-03-05
hCoV-19_USA_NY-NYCPHL-002804_2021	2021-01-26
hCoV-19_USA_NY-NYCPHL-002887_2021	2021-01-28
hCoV-19_USA_NY-PRL-2021_03_29_03B07_2021	2021-03-26
hCoV-19_USA_NY-PRL-2021_03_05_00C21_2021	2021-03-03
hCoV-19_USA_NY-PRL-03_08_00P06_2021	2021-03-07
hCoV-19_USA_NY-NYCPHL-001804_2020	2020-12-15
hCoV-19_USA_NY-NYCPHL-003486_2021	2021-02-22
hCoV-19_USA_NY-PRL-03_09_01C20_2021	2021-03-05
hCoV-19_USA_NY-NYULH466_2021	2021-02-23
hCoV-19_USA_NY-NYULH677_2021	2021-03-01
hCoV-19_USA_CT-JAX-JAX000139_2021	2021-03-02
hCoV-19_USA_NJ-PHEL-P21-9458_2021	2021-02-25
hCoV-19_USA_NY-PRL-2021_0405_01H01_2021	2021-04-02
hCoV-19_USA_CT-JAX-JAX000717_2021	2021-03-31
hCoV-19_USA_NY-PRL-2021_02_26_00G01_2021	2021-02-23
hCoV-19_USA_NY-PRL-2021_0408_00M21_2021	2021-04-06
hCoV-19_USA_NY-PRL-2021_03_02_00D03_2021	2021-02-28
hCoV-19_USA_NJ-CDC-ASC210011498_2021	2021-03-18
hCoV-19_USA_NY-PRL-2021_02_17_01K20_2021	2021-02-16
hCoV-19_USA_NY-Wadsworth-21020623-01_2021	2021-02-08
hCoV-19_USA_NY-Wadsworth-21028856-01_2021	2021-03-01
hCoV-19_USA_NY-Wadsworth-21021084-01_2021	2021-02-04
hCoV-19_USA_NY-Wadsworth-21014012-01_2020	2020-12-28
hCoV-19_USA_MS-UMMC-M448C12-504456_2021	2021-03-12
hCoV-19_USA_NY-Wadsworth-21036629-01_2021	2021-03-22
hCoV-19_USA_MS-UMMC-M493C4-504745_2021	2021-04-05
hCoV-19_USA_WY-WPHL-21020784_2021	2021-03-11
hCoV-19_USA_LA-CDC-LC0043734_2021	2021-04-06
hCoV-19_USA_AZ-TG780025_2021	2021-03-12
hCoV-19_USA_OK-CDC-LC0043907_2021	2021-04-08
hCoV-19_USA_MS-CDC-2-4122529_2021	2021-03-24
hCoV-19_USA_NY-Wadsworth-21040755-01_2021	2021-04-02
hCoV-19_USA_NY-Wadsworth-21026262-01_2021	2021-01-24
hCoV-19_USA_CT-Yale-2482_2021	2021-03-11
hCoV-19_USA_NJ-CDC-ASC210007690_2021	2021-03-16
hCoV-19_USA_NY-PRL-2021_03_29_03G22_2021	2021-03-25
hCoV-19_USA_NY-PRL-2021_02_19_01M12_2021	2021-02-17
hCoV-19_USA_NJ-CDC-ASC210007851_2021	2021-03-16
hCoV-19_Portugal_PT4347_2021	2021-03-03
hCoV-19_Portugal_PT4348_2021	2021-03-04
hCoV-19_USA_NJ-CDC-ASC210019990_2021	2021-03-25
hCoV-19_USA_NY-NYCPHL-003545_2021	2021-02-23
hCoV-19_USA_NY-Wadsworth-21041414-01_2021	2021-03-12
hCoV-19_USA_NY-PRL-2021_0205_00C04_2021	2021-02-02
hCoV-19_USA_NY-Wadsworth-21033481-01_2021	2021-03-11
hCoV-19_USA_NY-Wadsworth-21026000-01_2021	2021-02-17
hCoV-19_USA_NY-PRL-2021_03_11_00F24_2021	2021-03-09
hCoV-19_USA_NY-PRL-2021_03_01_01C11_2021	2021-02-26
hCoV-19_USA_NY-CDC-LC0026635_2021	2021-03-09
hCoV-19_USA_NY-PRL-2021_02_10_02G04_2021	2021-02-08
hCoV-19_USA_NY-NYULH38_2021	2021-01-03
hCoV-19_USA_CT-Yale-1738_2021	2021-02-15
hCoV-19_USA_CT-Yale-1739_2021	2021-02-15
hCoV-19_USA_NY-MVL018210323_2021	2021-01-18
hCoV-19_USA_NY-Wadsworth-21018111-01_2021	2021-01-30
hCoV-19_USA_NY-Wadsworth-21028306-01_2021	2021-03-01
hCoV-19_USA_NY-CDC-LC0041776_2021	2021-04-01
hCoV-19_USA_SC-USC-USC5789HA1_2021	2021-02-25
hCoV-19_England_CAMC-134E03D_2021	2021-02-27
hCoV-19_USA_NY-NYULH647_2021	2021-03-02
hCoV-19_USA_CT-Yale-2686_2021	2021-03-17
hCoV-19_USA_CT-Yale-2704_2021	2021-03-19
hCoV-19_USA_CT-Yale-2752_2021	2021-03-19
hCoV-19_USA_CT-Yale-2569_2021	2021-03-10
hCoV-19_USA_CT-Yale-2751_2021	2021-03-19
hCoV-19_USA_CT-JAX-JAX000167_2021	2021-02-02
hCoV-19_USA_NY-Wadsworth-21007343-01_2021	2021-01-07
hCoV-19_USA_NY-PRL-2021_0208_00G10_2021	2021-02-06
hCoV-19_France_HDF-20210322v2a7_2021	2021-03-25
hCoV-19_France_ARA-700000189537_2021	2021-03-18
hCoV-19_France_ARA-700000197378_2021	2021-03-16
hCoV-19_USA_NY-NYCPHL-003747_2021	2021-03-02
hCoV-19_USA_NY-PRL-2021_02_19_01H23_2021	2021-02-17
hCoV-19_USA_NY-PRL-2021_02_15_01C07_2021	2021-02-13
hCoV-19_USA_NY-PRL-2021_03_03_00P19_2021	2021-03-01
hCoV-19_USA_NY-PRL-2021_02_26_00I22_2021	2021-02-23
hCoV-19_USA_NY-PRL-2021_03_29_04E13_2021	2021-03-25
hCoV-19_USA_NY-PRL-2021_03_22_01A20_2021	2021-03-20
hCoV-19_USA_NJ-CDC-ASC210006098_2021	2021-03-13
hCoV-19_USA_NY-PRL-2021_02_22_00F15_2021	2021-02-19
hCoV-19_USA_NY-NYCPHL-003505_2021	2021-02-22
hCoV-19_USA_CT-JAX-JAX000911_2021	2021-04-05
hCoV-19_USA_NY-PRL-2021_02_19_01M03_2021	2021-02-16
hCoV-19_USA_NY-PRL-2021_0407_00H08_2021	2021-04-05
hCoV-19_USA_NY-PRL-2021_03_05_00L16_2021	2021-03-03
hCoV-19_USA_MI-UM-10038226814_2021	2021-02-08
hCoV-19_Sweden_47166682_2021	2021-03-30
hCoV-19_USA_CT-JAX-JAX000138_2021	2021-03-02
hCoV-19_USA_CT-CDC-IBX325653120821_2021	2021-03-23
hCoV-19_USA_NJ-CDC-ASC210019313_2021	2021-03-25
hCoV-19_USA_NJ-CDC-ASC210038941_2021	2021-03-31
hCoV-19_USA_CT-CDC-QDX23205192_2021	2021-03-21
hCoV-19_USA_CT-Yale-2292_2021	2021-03-08
hCoV-19_USA_NY-NYCPHL-002767_2021	2021-01-25
hCoV-19_USA_CT-Yale-2855_2021	2021-03-22
hCoV-19_USA_CT-CDC-LC0042227_2021	2021-04-04
hCoV-19_USA_NY-CDC-LC0040001_2021	2021-04-01
hCoV-19_USA_CT-CDC-LC0040965_2021	2021-04-07
hCoV-19_USA_CT-CDC-LC0042330_2021	2021-04-03
hCoV-19_USA_CT-CDC-LC0043229_2021	2021-04-10
hCoV-19_USA_NY-CDC-LC0037310_2021	2021-03-29
hCoV-19_USA_CT-JAX-JAX000874_2021	2021-04-05
hCoV-19_USA_CT-CDC-ASC210018524_2021	2021-03-24
hCoV-19_USA_NY-PRL-2021_0412_01K04_2021	2021-04-10
hCoV-19_USA_CT-Yale-2764_2021	2021-03-21
hCoV-19_USA_CT-CDC-QDX23206498_2021	2021-03-21
hCoV-19_USA_CT-CDC-ASC210024477_2021	2021-03-27
hCoV-19_USA_CT-CDC-QDX23678267_2021	2021-04-05
hCoV-19_USA_CT-CDC-LC0039937_2021	2021-04-03
hCoV-19_USA_CT-JAX-JAX000593_2021	2021-03-24
hCoV-19_USA_CT-JAX-JAX000296_2021	2021-03-15
hCoV-19_USA_CT-Yale-2700_2021	2021-03-18
hCoV-19_USA_CT-CDC-QDX23354582_2021	2021-03-21
hCoV-19_USA_CT-Yale-3153_2021	2021-03-25
hCoV-19_USA_CT-Yale-3293_2021	2021-03-28
hCoV-19_USA_CT-JAX-JAX000507_2021	2021-03-25
hCoV-19_USA_CT-Yale-3580_2021	2021-04-05
hCoV-19_USA_CT-Yale-3292_2021	2021-03-27
hCoV-19_USA_CT-Yale-3581_2021	2021-04-05
hCoV-19_USA_CT-JAX-JAX000304_2021	2021-03-15
hCoV-19_USA_CT-CDC-LC0040868_2021	2021-04-06
hCoV-19_USA_CT-CDC-LC0041020_2021	2021-04-08
hCoV-19_USA_CT-JAX-JAX000476_2021	2021-03-25
hCoV-19_USA_CT-Yale-3287_2021	2021-03-28
hCoV-19_USA_CT-JAX-JAX000252_2021	2021-03-13
hCoV-19_USA_CT-JAX-JAX000418_2021	2021-03-18
hCoV-19_USA_CT-JAX-JAX000500_2021	2021-03-25
hCoV-19_USA_CT-Yale-3267_2021	2021-03-26
hCoV-19_USA_CT-CDC-LC0040975_2021	2021-04-06
hCoV-19_USA_CT-JAX-JAX000462_2021	2021-03-25
hCoV-19_USA_CT-CDC-ASC210038695_2021	2021-03-31
hCoV-19_USA_CT-JAX-JAX000887_2021	2021-04-05
hCoV-19_USA_NJ-CDC-LC0036114_2021	2021-03-26
hCoV-19_USA_GA-CDC-LC0041313_2021	2021-04-11
hCoV-19_USA_NJ-CDC-LC0036241_2021	2021-03-27
hCoV-19_USA_NY-PRL-2021_0415_00O10_2021	2021-04-13
hCoV-19_USA_NY-CDC-LC0040058_2021	2021-04-05
hCoV-19_USA_IN-CDC-LC0041487_2021	2021-03-31
hCoV-19_USA_NY-PRL-2021_03_29_03A21_2021	2021-03-26
hCoV-19_USA_NY-PRL-2021_0405_02E19_2021	2021-04-01
hCoV-19_USA_NY-PRL-2021_0210_07C02_2021	2021-02-08
hCoV-19_USA_NY-CDC-ASC210017067_2021	2021-03-23
hCoV-19_USA_NY-CDC-QDX23179451_2021	2021-03-18
hCoV-19_USA_NY-CDC-LC0041057_2021	2021-04-07
hCoV-19_USA_NY-CDC-LC0032293_2021	2021-03-23
hCoV-19_USA_NY-CDC-ASC210038647_2021	2021-03-31
hCoV-19_USA_NY-CDC-LC0040017_2021	2021-04-01
hCoV-19_USA_NC-SLPH-0075_2021	2021-03-30
hCoV-19_USA_CT-JAX-JAX000899_2021	2021-04-05
hCoV-19_USA_NC-CDC-LC0036950_2021	2021-03-25
hCoV-19_USA_CT-CDC-QDX23572301_2021	2021-04-02
hCoV-19_USA_NC-UNC-0720_2021	2021-03-26
hCoV-19_USA_NY-PRL-2021_03_22_01A08_2021	2021-03-20
hCoV-19_USA_NY-PRL-2021_0405_01H21_2021	2021-04-03
hCoV-19_USA_NY-PRL-2021_03_15_01J24_2021	2021-03-13
hCoV-19_USA_CT-Yale-2772_2021	2021-03-19
hCoV-19_USA_CT-Yale-3082_2021	2021-03-24
hCoV-19_USA_CT-Yale-2693_2021	2021-03-18
hCoV-19_USA_CT-Yale-3112_2021	2021-03-24
hCoV-19_USA_NY-PRL-2021_0407_00I17_2021	2021-04-06
hCoV-19_USA_NY-PRL-2021_03_31_00E08_2021	2021-03-27
hCoV-19_USA_NY-PRL-2021_0408_00P14_2021	2021-04-06
hCoV-19_USA_CT-JAX-JAX000122_2021	2021-03-02
hCoV-19_USA_CT-JAX-JAX000157_2021	2021-03-01
hCoV-19_USA_CT-Yale-2822_2021	2021-03-21
hCoV-19_USA_CT-JAX-JAX000792_2021	2021-04-03
hCoV-19_USA_CT-JAX-JAX000849_2021	2021-04-06
hCoV-19_USA_CT-JAX-JAX000624_2021	2021-03-24
hCoV-19_USA_CT-CDC-QDX23678338_2021	2021-04-05
hCoV-19_USA_CT-JAX-JAX000478_2021	2021-03-27
hCoV-19_USA_CT-JAX-JAX000530_2021	2021-03-27
hCoV-19_USA_CT-JAX-JAX000747_2021	2021-04-02
hCoV-19_USA_CT-JAX-JAX000498_2021	2021-03-26
hCoV-19_USA_NY-CDC-LC0034613_2021	2021-03-17
hCoV-19_USA_NY-PRL-2021_0408_00F15_2021	2021-04-06
hCoV-19_USA_NY-PRL-2021_03_05_00I20_2021	2021-03-03
hCoV-19_USA_CT-JAX-JAX000279_2021	2021-03-09
hCoV-19_USA_NY-PRL-2021_03_12_00J21_2021	2021-03-11
hCoV-19_USA_NY-PRL-2021_03_11_00E02_2021	2021-03-09
hCoV-19_USA_CT-CDC-LC0041304_2021	2021-04-09
hCoV-19_USA_VA-CDC-LC0035493_2021	2021-03-21
hCoV-19_USA_NJ-CDC-LC0030520_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_15_01L18_2021	2021-03-13
hCoV-19_USA_NY-PRL-2021_02_19_00E06_2021	2021-02-16
hCoV-19_USA_NY-PRL-2021_0409_00A01_2021	2021-04-07
hCoV-19_USA_CT-Yale-2813_2021	2021-03-18
hCoV-19_USA_NY-PRL-2021_03_01_00B12_2021	2021-02-26
hCoV-19_USA_NY-NYCPHL-003780_2021	2021-03-09
hCoV-19_USA_CT-CDC-QDX23205407_2021	2021-03-21
hCoV-19_USA_NY-CDC-LC0035962_2021	2021-03-25
hCoV-19_USA_NY-CDC-LC0043416_2021	2021-04-10
hCoV-19_USA_NY-CDC-ASC210016993_2021	2021-03-23
hCoV-19_USA_NY-CDC-ASC210022768_2021	2021-03-27
hCoV-19_USA_NY-Wadsworth-21039264-01_2021	2021-03-24
hCoV-19_USA_CT-JAX-JAX000683_2021	2021-03-31
hCoV-19_USA_CT-JAX-JAX000572_2021	2021-03-24
hCoV-19_USA_CT-JAX-JAX000551_2021	2021-03-24
hCoV-19_USA_NY-PRL-2021_03_01_00P18_2021	2021-02-26
hCoV-19_USA_NY-NYULH997_2021	2021-03-17
hCoV-19_USA_NY-PRL-2021_02_26_00F01_2021	2021-02-23
hCoV-19_USA_NY-MVL047212017_2021	2021-02-16
hCoV-19_USA_NC-UNC-0744_2021	2021-03-24
hCoV-19_USA_NJ-CDC-IBX025492319665_2021	2021-03-31
hCoV-19_USA_NY-PRL-2021_0412_01M02_2021	2021-04-10
hCoV-19_USA_NJ-CDC-QDX23572331_2021	2021-04-02
hCoV-19_USA_NJ-CDC-ASC210045400_2021	2021-04-04
hCoV-19_USA_NJ-CDC-ASC210014178_2021	2021-03-21
hCoV-19_Germany_HH-RKI-I-023492_2021	2021-02-19
hCoV-19_Germany_HH-HPI-p4841_2021	2021-03-02
hCoV-19_USA_CT-CDC-LC0040788_2021	2021-04-09
hCoV-19_USA_CT-JAX-JAX000529_2021	2021-03-26
hCoV-19_USA_NY-PRL-03_09_02E04_2021	2021-03-07
hCoV-19_USA_CT-Yale-1789_2021	2021-02-19
hCoV-19_USA_NJ-CDC-LC0031779_2021	2021-03-13
hCoV-19_USA_NJ-CDC-ASC210024824_2021	2021-03-29
hCoV-19_USA_NJ-CDC-ASC210024823_2021	2021-03-29
hCoV-19_USA_NY-PRL-2021_0408_00L07_2021	2021-04-06
hCoV-19_USA_CT-JAX-JAX000733_2021	2021-03-31
hCoV-19_USA_CT-CDC-LC0040938_2021	2021-04-07
hCoV-19_USA_CT-JAX-JAX000619_2021	2021-03-22
hCoV-19_USA_NY-PRL-2021_04_01_00L13_2021	2021-03-31
hCoV-19_USA_GA-CDC-LC0037169_2021	2021-03-29
hCoV-19_USA_CT-Yale-2814_2021	2021-03-20
hCoV-19_USA_CT-Yale-3142_2021	2021-03-25
hCoV-19_USA_CT-Yale-3219_2021	2021-03-26
hCoV-19_USA_CT-Yale-2734_2021	2021-03-20
hCoV-19_USA_CT-Yale-2845_2021	2021-03-20
hCoV-19_USA_CT-CDC-LC0041101_2021	2021-04-08
hCoV-19_USA_CT-CDC-QDX23678227_2021	2021-04-05
hCoV-19_USA_CT-Yale-2683_2021	2021-03-17
hCoV-19_USA_NY-NYCPHL-004096_2021	2021-03-25
hCoV-19_USA_NY-Wadsworth-21035483-01_2021	2021-03-14
hCoV-19_USA_NY-PRL-2021_0406_00M19_2021	2021-04-05
hCoV-19_USA_NJ-CDC-LC0042702_2021	2021-04-05
hCoV-19_USA_NY-CDC-QDX23236050_2021	2021-03-21
hCoV-19_USA_NJ-CDC-ASC210015554_2021	2021-03-22
hCoV-19_USA_NY-Wadsworth-21036708-01_2021	2021-03-23
hCoV-19_USA_CA-CDC-ASC210046155_2021	2021-04-05
hCoV-19_USA_NJ-CDC-LC0038324_2021	2021-03-30
hCoV-19_USA_NY-PRL-2021_03_29_03D13_2021	2021-03-26
hCoV-19_USA_NY-PRL-2021_0412_01P13_2021	2021-04-09
hCoV-19_USA_NY-PRL-2021_02_10_02B07_2021	2021-02-08
hCoV-19_USA_NY-PRL-2021_03_29_02B04_2021	2021-03-27
