tip_name	collection_date
hCoV-19_USA_NM-UNM-02071_2021	2021-02-11
hCoV-19_USA_NJ-PHEL-P21-9037_2021	2021-02-25
hCoV-19_USA_NY-PRL-2021_0408_00F04_2021	2021-04-06
hCoV-19_USA_NY-PRL-2021_03_01_01M02_2021	2021-02-27
hCoV-19_USA_NY-PRL-03_10_00H05_2021	2021-03-08
hCoV-19_Singapore_234_2021	2021-02-26
hCoV-19_USA_NY-Wadsworth-21036705-01_2021	2021-03-22
hCoV-19_USA_NY-Wadsworth-21030348-01_2021	2021-03-04
hCoV-19_USA_NY-PRL-2021_03_16_00H20_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_12_00B15_2021	2021-03-10
hCoV-19_USA_NY-PRL-2021_0415_01I04_2021	2021-04-14
hCoV-19_USA_NY-PRL-2021_0412_01C01_2021	2021-04-10
hCoV-19_USA_NY-PRL-2021_0210_06F07_2021	2021-02-09
hCoV-19_USA_NY-NYULH517_2021	2021-02-23
hCoV-19_USA_NY-PRL-2021_02_19_00P16_2021	2021-02-16
hCoV-19_USA_NY-PRL-2021_0210_07H07_2021	2021-02-09
hCoV-19_USA_NY-Wadsworth-21015412-01_2021	2021-01-14
hCoV-19_USA_NY-PRL-2021_03_01_00E24_2021	2021-02-26
hCoV-19_USA_NY-Wadsworth-21012221-01_2021	2021-01-20
hCoV-19_USA_NY-PRL-2021_03_22_01B18_2021	2021-03-20
hCoV-19_USA_NY-PRL-2021_03_22_01I19_2021	2021-03-19
hCoV-19_USA_NY-Wadsworth-21042197-01_2021	2021-03-30
hCoV-19_Guadeloupe_IPP06225_2021	2021-03-09
hCoV-19_USA_NY-CDCBI-CRSP_01749_2021	2021-03-17
hCoV-19_USA_CA-CDC-FG-020381_2021	2021-04-11
hCoV-19_USA_CT-Yale-3486_2021	2021-04-06
hCoV-19_USA_IL-CDC-ASC210017174_2021	2021-03-23
hCoV-19_USA_CT-JAX-JAX000665_2021	2021-03-31
hCoV-19_USA_WI-CDC-2-4171993_2021	2021-02-25
hCoV-19_USA_NY-PRL-2021_0405_01F21_2021	2021-04-03
hCoV-19_USA_NY-PRL-2021_03_23_01G04_2021	2021-03-22
hCoV-19_USA_NY-Wadsworth-21024537-01_2021	2021-02-15
hCoV-19_USA_CT-CDC-QDX23678262_2021	2021-04-05
hCoV-19_USA_CT-JAX-JAX000788_2021	2021-04-02
hCoV-19_USA_CT-JAX-JAX000824_2021	2021-04-06
hCoV-19_USA_CT-JAX-JAX000789_2021	2021-04-02
hCoV-19_USA_CT-CDC-ASC210045720_2021	2021-04-04
hCoV-19_USA_CT-JAX-JAX000892_2021	2021-04-05
hCoV-19_USA_CT-JAX-JAX000893_2021	2021-04-05
hCoV-19_USA_CT-JAX-JAX000868_2021	2021-04-06
hCoV-19_USA_CT-JAX-JAX000701_2021	2021-03-30
hCoV-19_USA_CT-Yale-3534_2021	2021-04-06
hCoV-19_USA_CT-JAX-JAX000405_2021	2021-03-18
hCoV-19_USA_CT-JAX-JAX000925_2021	2021-04-10
hCoV-19_Belgium_rega-3882_2021	2021-02-24
hCoV-19_USA_NY-Wadsworth-21023718-01_2021	2021-02-09
hCoV-19_USA_NY-PRL-2021_0408_00B11_2021	2021-04-07
hCoV-19_USA_NY-PRL-2021_0405_00K22_2021	2021-03-31
hCoV-19_USA_NY-Wadsworth-21028607-01_2021	2021-02-28
hCoV-19_USA_NY-Wadsworth-21035089-01_2021	2021-03-20
hCoV-19_USA_NY-PRL-2021_03_03_00E01_2021	2021-03-01
hCoV-19_USA_NY-PRL-2021_03_01_00G01_2021	2021-02-25
hCoV-19_USA_NY-PRL-2021_03_22_00N17_2021	2021-03-19
hCoV-19_USA_NY-Wadsworth-21032778-01_2021	2021-02-28
hCoV-19_USA_NJ-PHEL-21-9135_2021	2021-03-25
hCoV-19_USA_NY-PRL-2021_0405_02E05_2021	2021-04-04
hCoV-19_USA_NJ-CDC-IBX410946296205_2021	2021-03-31
hCoV-19_USA_CT-Yale-1791_2021	2021-02-22
hCoV-19_USA_CT-Yale-1821_2021	2021-02-22
hCoV-19_USA_NJ-CDC-ASC210007502_2021	2021-03-16
hCoV-19_USA_CT-Yale-3511_2021	2021-04-05
hCoV-19_USA_NY-NYCPHL-003357_2021	2021-02-11
hCoV-19_USA_CT-CDC-LC0040937_2021	2021-04-07
hCoV-19_USA_CT-CDCBI-CRSP_01598_2021	2021-03-20
hCoV-19_USA_CT-Yale-1992_2021	2021-02-22
hCoV-19_USA_CT-Yale-2744_2021	2021-03-20
hCoV-19_USA_NY-Wadsworth-21032701-01_2021	2021-02-27
hCoV-19_USA_CT-Yale-2511_2021	2021-03-12
hCoV-19_USA_NY-PRL-2021_0408_00C07_2021	2021-04-06
hCoV-19_USA_NJ-CDC-LC0013450_2021	2021-02-02
hCoV-19_USA_NY-PRL-2021_03_31_00P02_2021	2021-03-28
hCoV-19_USA_NY-Wadsworth-21041224-01_2021	2021-04-04
