tip_name	tip_dates
hCoV-19_Ecuador_UEES-12179_2021	2021-03-22
hCoV-19_Ecuador_UEES-11648_2021	2021-03-08
hCoV-19_Argentina_PAIS-A0470_2021	2021-03-05
hCoV-19_Brazil_RJ-FIOCRUZ-2624-1P_2021	2021-01-21
hCoV-19_Brazil_SP-757166-NBD18_2021	2021-03-08
hCoV-19_Brazil_SP-757283-NBD08_2021	2021-03-08
hCoV-19_Brazil_SP-765147-NBD19_2021	2021-03-08
hCoV-19_Brazil_SP-765394-NBD03_2021	2021-03-08
hCoV-19_Brazil_SP-765410-NBD08_2021	2021-03-09
hCoV-19_Brazil_SP-765468-NBD13_2021	2021-03-09
hCoV-19_Brazil_SP-772803-NBD20_2021	2021-03-10
hCoV-19_Brazil_SP-787377-NBD10_2021	2021-03-14
hCoV-19_Brazil_SP-787379-NBD11_2021	2021-03-14
hCoV-19_Brazil_SP-794026-NBD05_2021	2021-03-15
hCoV-19_Brazil_SP-802010-NBD20_2021	2021-03-15
hCoV-19_Brazil_SP-IAL-718240-NBD13_2021	2021-02-25
hCoV-19_Brazil_SP-IAL-721488-NBD01_2021	2021-02-25
hCoV-19_Brazil_SP-FIOCRUZ-12438_2021	2021-03-10
hCoV-19_Brazil_SP-2098_2021	2021-02-09
hCoV-19_Chile_RM-49331_2021	2021-03-09
hCoV-19_Chile_RM-49333_2021	2021-03-09
hCoV-19_Chile_AP-53843_2021	2021-03-15
hCoV-19_Chile_LR-66876_2021	2021-03-27
hCoV-19_Brazil_MG-LBI176_2021	2021-02-23
hCoV-19_Brazil_MG-LBI235_2021	2021-03-03
hCoV-19_Brazil_MG-LBI261_2021	2021-03-03
hCoV-19_Brazil_SP-AFIP_02_2021_2021	2021-02-17
hCoV-19_Suriname_SR-RIVM-22479_2021	2021-03-05
hCoV-19_Suriname_SR-RIVM-22489_2021	2021-03-01
hCoV-19_Suriname_SR-RIVM-22521_2021	2021-02-18
hCoV-19_Suriname_SR-RIVM-22493_2021	2021-03-21
hCoV-19_Suriname_SR-RIVM-22458_2021	2021-03-19
hCoV-19_Suriname_SR-RIVM-22515_2021	2021-03-22
hCoV-19_Suriname_SR-RIVM-22540_2021	2021-03-17
hCoV-19_Brazil_SP-2249_2021	2021-02-19
hCoV-19_Brazil_RJ-FIOCRUZ-13447_2021	2021-01-27
hCoV-19_Brazil_SC-FIOCRUZ-13112_2021	2021-01-17
hCoV-19_Brazil_SC-FIOCRUZ-13110_2021	2021-02-02
hCoV-19_Chile_RM-55821_2021	2021-03-17
hCoV-19_Chile_RM-55593_2021	2021-03-17
hCoV-19_Chile_RM-51552_2021	2021-03-13
hCoV-19_Chile_RM-64967_2021	2021-03-27
hCoV-19_Chile_RM-66087_2021	2021-03-29
hCoV-19_Chile_RM-66243_2021	2021-03-29
hCoV-19_Chile_RM-52028_2021	2021-03-14
hCoV-19_Chile_RM-52039_2021	2021-03-14
hCoV-19_Chile_NB-71973_2021	2021-04-03
hCoV-19_Chile_LL-72506_2021	2021-04-03
hCoV-19_Chile_BI-72833_2021	2021-04-04
hCoV-19_Chile_BI-72492_2021	2021-04-04
hCoV-19_Brazil_BA-LACEN-134_2021	2021-02-10
hCoV-19_Brazil_BA-LACEN-150_2021	2021-02-16
hCoV-19_Brazil_BA-LACEN-165_2021	2021-03-05
hCoV-19_Brazil_BA-LACEN-167_2021	2021-02-09
hCoV-19_Colombia_CAL-INS-VG-1494_2021	2021-02-15
hCoV-19_Colombia_CAL-INS-VG-1496_2021	2021-02-19
hCoV-19_Colombia_DC-UANDES-G014454_2021	2021-03-10
hCoV-19_Colombia_DC-UANDES-G015589_2021	2021-04-05
hCoV-19_Colombia_DC-UANDES-G014996_2021	2021-03-22
hCoV-19_Colombia_DC-UANDES-317028_2021	2021-03-27
hCoV-19_Colombia_DC-UANDES-327051_2021	2021-03-30
hCoV-19_Colombia_DC-UANDES-331392_2021	2021-04-01
hCoV-19_Brazil_SP-2355_2021	2021-03-12
hCoV-19_Chile_LR-74377_2021	2021-04-01
hCoV-19_Chile_LR-74378_2021	2021-04-01
hCoV-19_Chile_LR-74382_2021	2021-03-31
hCoV-19_Chile_LR-74384_2021	2021-03-31
hCoV-19_Chile_LR-75415_2021	2021-04-06
hCoV-19_Chile_RM-70292_2021	2021-04-02
hCoV-19_Chile_RM-55193_2021	2021-03-16
hCoV-19_Chile_MA-55150_2021	2021-03-01
hCoV-19_Chile_RM-68272_2021	2021-03-31
hCoV-19_Chile_RM-68293_2021	2021-03-31
hCoV-19_Chile_RM-70226_2021	2021-04-01
hCoV-19_Chile_RM-70275_2021	2021-04-02
hCoV-19_Chile_RM-71294_2021	2021-04-04
hCoV-19_Chile_TA-73410_2021	2021-04-05
hCoV-19_Chile_TA-73411_2021	2021-04-05
hCoV-19_Chile_RM-73941_2021	2021-04-05
hCoV-19_Colombia_NSA-INS-VG-1911_2021	2021-03-30
hCoV-19_Brazil_RJ-LNN00031_2021	2021-03-26
hCoV-19_Brazil_RJ-LNN00094_2021	2021-03-27
hCoV-19_Brazil_RJ-LNN00095_2021	2021-03-28
hCoV-19_Colombia_ANT-CWOHC-VG-SEC00098T_2021	2021-02-26
hCoV-19_Colombia_ANT-CWOHC-VG-SEC00132B_2021	2021-03-05
hCoV-19_Colombia_ANT-CWOHC-VG-SEC00133C_2021	2021-03-29
hCoV-19_Colombia_ANT-CWOHC-VG-SEC00151U_2021	2021-03-15
hCoV-19_Colombia_ANT-CWOHC-VG-SEC00179W_2021	2021-04-08
hCoV-19_Brazil_SP-2371_2021	2021-03-09
hCoV-19_Brazil_SP-2595_2021	2021-04-10
hCoV-19_Brazil_SP-2597_2021	2021-04-10
